ID,Start time,Completion time,Email,Name,Last modified time,Age.,Gender.,Professional Occupation.,Do you have experience with virtual reality?,Column,2,3,4,5,6,7,8,9,10,11,12,13,14,I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use .,I found the various functions in the system were well integrated.,I thought there was too much inconsistency in this system.,I imagine that most people would learn to use this product very quickly.,I found the product very awkward to use.,I felt very confident using the product,I needed to learn a lot of things before I could get going with this product.,What did you like most and less about the game.,"Do you have any suggestions, comments, or thoughts about your experience with the personalized XR session?
",Other Suggestions
12,3/12/26 18:24:49,3/12/26 18:31:44,anonymous,,,23,Male,Student Researcher,Yes,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Disagree,"
Most - the women
Least - the men",A notification bell around the view to know when whatever happens,be gentle
13,3/12/26 18:53:10,3/12/26 19:14:14,anonymous,,,22,Male,Bolseiro que nem o Marujo,Yes,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"Frisbee: Gostei do cão, ele é o elemento que dá vida ao jogo e o jogo em sí é bem simples e acessivel. As fisicas às vezes ainda parecem um pouco inconsistentes.
Arco: O jogo é divertido e requer mais consentração que o frisbee, num bom sentido. Ter de ler a cor do balão que temos de atingir distrai muito da ação do jogo, tenta tornar essa informação mais evidente. ","A subida de nível de dificuldade podia ter mais feedback. Por exemplo podias colocar um som como ""level up"" ou ""Continua assim!"" e uns fogos de artificio no background. Desta forma das os parabens e recompensas os sobreviventes no seu progresso de reabilitação. No caso oposto fazes bem em deixar mais discreto","Aproxima as caixas de texto, tive alguma dificuldade a ler e fiquei um pouco tonto. "
14,3/12/26 19:24:53,3/12/26 19:33:00,anonymous,,,12,Male,Student,No,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,liked was easy. didnt liked the graphics,,
15,3/12/26 19:47:18,3/12/26 19:55:35,anonymous,,,21,Male,Student,No,Agree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,"No primeiro jogo, achei a parte do disco um pouco secante, pois o lançamento estava um pouco estranho de utilizar. O segundo jogo achei divertido, e não me importava de continuar a jogar.",,
16,3/12/26 19:55:54,3/12/26 20:41:35,anonymous,,,30,Male,AI Engineer,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Disagree,Agree,Disagree,"I liked (most) the Virtual Reality element to it, where I literally felt I was truly seeing the fair in a 3D environment, and I liked how my vision and hand movements were so greatly coordinated. I liked (less) how hard it was to accurately throw the disk was. It felt awkward releasing it.",It was great. It made me do somewhat realistic movements to achieve the tasks given.,It seems great. A different collection of maps and games could cover more people's needs and likes.
17,3/12/26 20:37:59,3/12/26 20:44:20,anonymous,,,22,Male,Student,Yes,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"I liked the simplicity of the games and how intuitive they were. In the archery game, I think that it wasn't that obvious that the target color had changed.","In the frisbee game, I would say that the frisbee was going too fast though. Maybe adjust the physics a little bit",
18,3/13/26 11:14:09,3/13/26 11:27:10,anonymous,,,23,Male,Student,No,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,,,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,"Gostei muito dos jogos tem movimentos intuitivos e simples.
Não gostei de um botões de tarem um pouco baixo.","Relacionar a  sequência com um aumento da dificuldade, ter um efeito sonoro mais sugestivo na mudança de dificuldade.","Ter todos objetos na mesma área de visão ter os elementos de UI como score, cor do balão mais perto/centrados com os elementos do jogo, e ter os botões +- a altura do jogador.

Diminuir a distância entre as caixas de diálogos dos mini jogos  e o jogador ou aumentar estas caixas.

Ter a possibilidade de customizar o avatar/mãos

"
19,3/14/26 15:47:36,3/14/26 16:15:45,anonymous,,,23,Male,Student,No,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,"O jogo do arco e flecha é bastante intuitivo e facil de jogar, ja o do frisbee ja nao era tao intuitivo na questao do reconhecimento dos movimentos do braço, de resto achei que foi tudoo bastante intuitivo e facil de compreender, aconcelho a alterar a fonte das instruçoes ou até dita-las em formato audio.","Acho que foi tudo relativamente bem ajustado, no jogo do arco e flecha a dificuldade foi aumentando, e o no frisbee as areas foram se ajustando a minha dificuldade.",Como ja tinha referido anteriormente apenas tive dificuldade a ler as instruções devido a fonte utilizada mas de resto nada apontar 
20,3/14/26 16:15:49,3/14/26 16:34:14,anonymous,,,22,Male,Unemployed,No,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"Gostei do ajuste automático à minha performance, apesar de pensar que poderia ser um pouco mais gradual esse ajuste. ",uma única sugestão que teria seria maior diversidade de jogos.,
21,3/14/26 16:39:59,3/14/26 16:55:37,anonymous,,,22,Male,Student,No,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,"The main menu was kinda bugged, maybe I had the VR googles badly placed in my head but i had to look at strange places for the button and text of the mini-game to appear.
What I liked the most was the bow and arrow game, very intuitive and was genuinely having fun. Played it 3 times and would play it 10 more.
In the frisbee game I couldn't crack the mechanic but was still fun, but it didn't motivated me to play more","One fun thing I tried was to press the button with the frisbee and it would be a cool small feature. Other than the main menu bug I talked earlier, I didn't experience any other issues.",
22,3/14/26 16:55:39,3/14/26 17:07:04,anonymous,,,22,Male,Student,No,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Disagree,Strongly agree,Strongly disagree,"Para uma primeira experiência em imersão virtual achei muito confortável, o texto foi básico e o ambiente simples o suficiente para perceber o contexto do jogo. Os 2 jogos apresentados foram divertidos, sinto que no jogo do frisbee às vezes o lançamento tornava-se um bocado awkward pelo que só depois de alguns lançamentos é que consegui entender mais ou menos como eu conseguiria lançar para onde eu queria. No jogo do arco e flecha achei-o bem otimizado e muito simples e intuitivo de usar, facilmente torna-se divertido e a dificuldade crescente é notável em ambos os jogos. O único defeito que encontrei no jogo do arco e flecha foi que o texto no background não era o bastante visivel pelo que ás vezes quando era preciso atirar contra os balões vermelhos eu não percebia logo á primeira. ",O meu texto anterior praticamente mete todos os comentários sobre a minha experiencia.,Só tornar o objetivo do jogo atual mais visivel ou percetivel
23,3/14/26 17:07:07,3/14/26 17:17:38,anonymous,,,22,Male,Student,Yes,Strongly agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"As to what I liked the most, it was the games. The way they were structured, the movements and skills necessary and the difficulty level were fun and engaging. It is really fun to play the games, it feels engaging and immersive.
On the not so good aspects, the text boxes could use some simplification. Some information provided does not really add to the experience and can be taken out, and other can be resumed. Also, the text boxes are not that well readable. My suggestion is to change the way the text is presented, and shorten its length to a minimum. The user does not really need to know the technical details of the game, just the bare minimums to get the game going. This way, by having a faster start to play, the game could be much more fun.",Already given above: main thing is to reduce text boxes in the beginning and change their aspect for an easier reading.,
24,3/14/26 17:46:30,3/14/26 17:51:06,anonymous,,,22,Male,Student,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Achei o jogo super acessível e dinâmico. ,senti uma ligeira dificuldade quando tinha de executar movimentos para a minha esquerda,
25,3/14/26 17:59:34,3/14/26 18:04:40,anonymous,,,22,Male,Student,No,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly agree,Disagree,Agree,Strongly disagree,"I liked a lot the bow and arrow mini-game, I found it very pleasing and enjoyable to play. The frisbee mini-game was a little bit harder.",,
26,3/14/26 18:10:30,3/14/26 18:14:23,anonymous,,,26,Male,personal trainner,No,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,,
27,3/18/26 11:01:06,3/18/26 11:07:04,anonymous,,,21,Male,Student,No,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,,,
28,3/18/26 11:10:56,3/18/26 11:22:22,anonymous,,,22,Male,Student,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,"Gostei do arco e flecha, se pudesse controlar melhorar e ter maior range para controlar seria melhor. O frisbee as vezes não responde completamente como esperava, mas é divertido, eu meteria zonas laranjas mais longe também",No,"Para mim não é intuitivo ter de olhar para o jogo para que apareça o botão, penso que ficava muito longe e ficava numa posição estranha ao escolher o jogo"
29,3/18/26 11:20:15,3/18/26 11:27:50,anonymous,,,22,Male,Student,No,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Disagree,Agree,Strongly disagree,,,
30,3/18/26 11:34:06,3/18/26 11:35:48,anonymous,,,21,Male,Student,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,,,
31,3/18/26 11:48:43,3/18/26 11:53:27,anonymous,,,21,Male,Student,Yes,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,,,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Strongly disagree,O ambiente e o jogo do arco e flecha,,
32,3/18/26 22:55:59,3/18/26 22:59:33,anonymous,,,22,Male,Student,Yes,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Disagree,Strongly agree,Disagree,,,
33,3/18/26 22:56:00,3/18/26 23:00:47,anonymous,,,22,Female,Student,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,,,
34,3/19/26 23:33:54,3/19/26 23:41:09,anonymous,,,22,Female,Student,No,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,O que gostei mais foi o conceito ser interessante ,Nop,
35,3/19/26 23:33:55,3/19/26 23:42:25,anonymous,,,22,Male,Student,No,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Os jogos em sí,Adaptar para esquerdistas algumas circunstâncias do jogo ,"O conceito pareceu me interessante, tem só alguma complexidade onde as vezes posicionar as mãos "
36,3/20/26 0:29:49,3/20/26 0:45:25,anonymous,,,22,Male,Student,No,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Neutral,"O sistema é intuitivo e fácil de usar, os jogos mantém se intressantes mesmo ao logo da sessão, e é interativo.",,"Alargar o número de mini-jogos para que exista mais variedade, e adicionar movimentação dentro do menu principal, de modo a que o jogador possa interagir melhor com o ambiente ao redor e ir de encontro às tendas para escolher o mini-game."
37,3/24/26 15:24:24,3/24/26 15:34:19,anonymous,,,50,Male,Teacher,Yes,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Strongly disagree,"Like the bow and arrow very much. Easy to play and so much easier to fine tune the difficulty/personalization. A possible additional personalization might be switchin on/off the guide for the arrow.
Regarding the frisbee game, the mapping between the physicla movement and the frisbee trajectory is much more difficult to understand and th etrajectory many times was different from what I expect and this can easily generate some frustration. The possibility to have a guidance effect would be nice, although it is much more complicate given that the movementi snot only from direction but from movement. ",It could be interesting to have the possibility to have feedback and see the evolution of the difficulty at the end of the game (kind of high scores to compare and see evolution). Or even in the game to explicitely say that difficulty is increasing to reward my performance.  ,"It would be intersting to understand to which extent the movemet is important (or not) in a rehabilitation settings and if not other games might be considered, like shooting (although similar to the bow and arrow) or placing objects in a position or games such as picking a duck or a fish with a fishing cane that you see sometimes in country fair as well.
It would be nice to try to map ""real"" rehabilitation exercizes/movements to the games developed (I don't know if this is the case now) so that the games could be directly linked to rehabilitation and progress could almost be a measure of how well the survivor is progressing.
Congratulatin on the nice job."
38,4/12/26 19:27:52,4/12/26 19:38:29,anonymous,,,55,Male,Enfermeiro,Yes,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,,,
39,4/12/26 21:39:25,4/12/26 21:49:56,anonymous,,,57 anos,Female,Enfermeira,Yes,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,"As instruções são faceis de entender, assim como o jogo .
A duração dos mini jogos é adequada.",,
